customer_id,tipo_identificacion,identificacion,nombre,apellido,fecha_nacimiento,email,telefono,direccion,fecha_creacion,estado_cliente
Cus001,PASAPORTE,5O1CE7B5,Pedro,Mora,17/10/1995,pedro.mora1@testmail.com,0993632280,"Av. Colón N9945 y Sucre, Ambato",07/04/2024 12:00:00,INACTIVO
Cus002,CEDULA,1710967389,Juan,Gómez,17/06/1952,juan.gomez2@testmail.com,0975196537,"Calle Bolívar N512 y Sucre, Guayaquil",24/02/2023 12:00:00,INACTIVO
Cus003,RUC,1718397506001,Carlos,Mora,12/09/1963,carlos.mora3@testmail.com,0908336014,"Calle Bolívar N1932 y Sucre, Cuenca",17/10/2024 12:00:00,ACTIVO
Cus004,PASAPORTE,BF3KSCNL,María,Gómez,18/05/1982,maria.gomez4@testmail.com,0945576639,"Av. República N8883 y Naciones Unidas, Quito",30/08/2024 12:00:00,ACTIVO
Cus005,RUC,1717759474001,Carlos,Mora,07/10/1983,carlos.mora5@testmail.com,0970192467,"Av. Shyris N8031 y Mariana de Jesús, Ambato",19/01/2023 12:00:00,INACTIVO
Cus006,CEDULA,1751935170,Pedro,López,26/03/2003,pedro.lopez6@testmail.com,0971650817,"Av. Amazonas N7299 y 10 de Agosto, Manta",05/03/2024 12:00:00,INACTIVO
Cus007,RUC,1718169459001,María,López,08/01/1976,maria.lopez7@testmail.com,0984554272,"Av. República N7274 y Orellana, Cuenca",20/10/2024 12:00:00,ACTIVO
Cus008,PASAPORTE,BK9F6G8V,Ana,Mora,29/06/1983,ana.mora8@testmail.com,0999686506,"Calle Bolívar N2077 y Naciones Unidas, Quito",16/07/2024 12:00:00,ACTIVO
Cus009,RUC,1701503557001,Pedro,Ramírez,26/03/1959,pedro.ramirez9@testmail.com,0918006605,"Calle Bolívar N7965 y Sucre, Guayaquil",09/07/2023 12:00:00,INACTIVO
Cus010,RUC,1744380062001,María,López,25/02/1975,maria.lopez10@testmail.com,0993782369,"Av. 6 de Diciembre N9984 y Naciones Unidas, Ambato",22/12/2024 12:00:00,ACTIVO
Cus011,CEDULA,1706309166,Lucía,Mora,16/11/1964,lucia.mora11@testmail.com,0968004721,"Av. Shyris N5514 y 10 de Agosto, Manta",07/08/2024 12:00:00,ACTIVO
Cus012,PASAPORTE,S5RCGB07,Juan,Pérez,25/12/1960,juan.perez12@testmail.com,0918789005,"Av. Colón N2467 y Orellana, Guayaquil",09/10/2024 12:00:00,ACTIVO
Cus013,RUC,1753492329001,Carlos,Ramírez,05/10/1996,carlos.ramirez13@testmail.com,0943025833,"Av. Amazonas N6651 y 10 de Agosto, Quito",12/12/2023 12:00:00,INACTIVO
Cus014,CEDULA,1759047440,Ana,Torres,01/02/1943,ana.torres14@testmail.com,0930981107,"Av. 9 de Octubre N9249 y Naciones Unidas, Manta",30/04/2023 12:00:00,INACTIVO
Cus015,RUC,1713433579001,Pedro,Vera,03/08/1941,pedro.vera15@testmail.com,0937011803,"Av. Naciones Unidas N1468 y Loja, Guayaquil",24/07/2023 12:00:00,INACTIVO
Cus016,RUC,1730503354001,Pedro,López,06/11/1994,pedro.lopez16@testmail.com,0963784573,"Calle Bolívar N5853 y Patria, Guayaquil",11/06/2024 12:00:00,INACTIVO
Cus017,RUC,1702732262001,Juan,López,17/05/1990,juan.lopez17@testmail.com,0928702294,"Av. Amazonas N9724 y Naciones Unidas, Manta",13/09/2024 12:00:00,ACTIVO
Cus018,CEDULA,1743940999,Sofía,Gómez,06/07/1954,sofia.gomez18@testmail.com,0967895645,"Av. 9 de Octubre N7336 y Colón, Quito",15/11/2024 12:00:00,ACTIVO
Cus019,CEDULA,1718442211,Ana,Pérez,30/03/1979,ana.perez19@testmail.com,0943321330,"Av. Amazonas N4840 y Naciones Unidas, Guayaquil",03/08/2024 12:00:00,ACTIVO
Cus020,CEDULA,1719309583,Sofía,Vera,08/02/1944,sofia.vera20@testmail.com,0920207520,"Av. Amazonas N5434 y Patria, Cuenca",25/12/2024 12:00:00,ACTIVO
Cus021,CEDULA,1732314388,Pedro,López,11/08/1945,pedro.lopez21@testmail.com,0943730535,"Calle Bolívar N8095 y Patria, Manta",28/06/2024 12:00:00,INACTIVO
Cus022,CEDULA,1712527397,Ana,Pérez,19/06/1950,ana.perez22@testmail.com,0974881391,"Av. República N228 y Patria, Guayaquil",10/06/2023 12:00:00,INACTIVO
Cus023,RUC,1723140131001,Lucía,Ramírez,21/03/1939,lucia.ramirez23@testmail.com,0978429533,"Calle Sucre N8528 y Colón, Ambato",02/05/2024 12:00:00,INACTIVO
Cus024,PASAPORTE,2ZT15NYS,Luis,Torres,30/01/1983,luis.torres24@testmail.com,0985212004,"Av. 6 de Diciembre N4473 y Loja, Ambato",23/06/2024 12:00:00,INACTIVO
Cus025,RUC,1728703214001,Sofía,Gómez,09/05/1940,sofia.gomez25@testmail.com,0903950888,"Av. 9 de Octubre N2797 y Orellana, Guayaquil",17/05/2023 12:00:00,INACTIVO
Cus026,CEDULA,1739806816,Sofía,Martínez,11/07/1977,sofia.martinez26@testmail.com,0963622446,"Av. Colón N5565 y Loja, Cuenca",15/12/2024 12:00:00,ACTIVO
Cus027,RUC,1713551727001,Pedro,Gómez,12/08/1947,pedro.gomez27@testmail.com,0984792705,"Av. República N6291 y Orellana, Quito",01/04/2023 12:00:00,INACTIVO
Cus028,RUC,1706844709001,Lucía,López,11/01/1952,lucia.lopez28@testmail.com,0974091260,"Av. Colón N994 y Sucre, Quito",21/09/2024 12:00:00,ACTIVO
Cus029,CEDULA,1728023258,Lucía,Gómez,13/06/1941,lucia.gomez29@testmail.com,0999800881,"Av. República N8964 y Orellana, Ambato",14/09/2024 12:00:00,ACTIVO
Cus030,PASAPORTE,CCJZ8V9C,Luis,Vera,27/08/1996,luis.vera30@testmail.com,0982172952,"Av. 6 de Diciembre N7154 y Loja, Manta",11/10/2023 12:00:00,INACTIVO
Cus031,PASAPORTE,LZONK6OQ,Carlos,López,08/02/1946,carlos.lopez31@testmail.com,0985597118,"Calle Sucre N4724 y Patria, Ambato",27/02/2023 12:00:00,INACTIVO
